<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GAS,20171207,73.7223,76.2063,73.7223,75.4078,887140
GAS,20171206,73.6335,74.4320,72.5690,73.8997,699210
GAS,20171205,72.0367,75.1417,72.0367,73.3674,1289420
GAS,20171204,72.7464,73.5449,72.0367,72.2141,792790
GAS,20171201,71.8592,72.7463,71.5043,72.5690,524060
GAS,20171130,70.6172,73.0125,70.2623,70.7059,659280
GAS,20171129,71.4156,71.4156,69.8187,70.7946,726350
GAS,20171128,72.0366,72.3028,70.7946,70.7946,519350
GAS,20171127,71.4156,73.0125,71.1495,71.9479,694900
GAS,20171124,71.8593,71.8593,70.7947,71.1495,635060
GAS,20171123,74.3433,74.4320,71.1495,71.5044,669620
GAS,20171122,72.7464,74.4319,72.3915,73.3674,529790
GAS,20171121,71.4157,73.6335,70.9721,71.8592,747040
GAS,20171120,70.3480,72.2996,69.9044,71.6818,520030
GAS,20171117,69.9875,70.3379,68.9364,69.5496,621920
GAS,20171116,69.3743,70.1627,69.0240,69.9875,524770
GAS,20171115,69.1992,69.8123,68.7612,69.8123,449990
GAS,20171114,69.9875,70.6006,68.7612,70.0751,491250
GAS,20171113,67.2721,69.6371,66.8341,69.6371,678800
GAS,20171110,67.2721,67.5349,66.5713,67.2721,522740
GAS,20171109,66.5713,67.4473,66.3961,67.2721,545450
GAS,20171108,65.6078,67.4473,65.6078,67.0969,693240
GAS,20171107,66.7465,66.9217,65.4326,65.4326,649940
GAS,20171106,64.8195,66.1334,64.6443,65.6954,499030
GAS,20171103,63.5932,64.3815,63.4180,64.3815,571850
GAS,20171102,64.2063,64.6443,62.8924,63.5932,735730
GAS,20171101,63.6807,64.2063,63.0676,63.9435,838420
GAS,20171031,63.8560,64.7319,62.6297,62.6296,927460
GAS,20171030,61.4909,64.6443,61.4909,63.8560,2168000
GAS,20171027,60.0894,60.7026,59.4762,60.7026,273010
GAS,20171026,61.0529,61.2281,60.0018,60.0894,519670
GAS,20171025,60.9653,61.4909,60.6149,61.1405,455400
GAS,20171024,59.3886,61.0529,59.1258,61.0529,704810
GAS,20171023,62.0165,62.1917,59.6515,59.6514,626330
GAS,20171020,61.3157,62.8924,61.3157,61.9289,642160
GAS,20171019,60.8778,61.9289,60.8778,61.5785,634880
GAS,20171018,60.8778,62.1041,60.4398,60.8778,617790
GAS,20171017,60.8778,61.1406,60.3522,60.7902,310840
GAS,20171016,61.4909,62.1916,60.6149,60.7902,549810
GAS,20171013,60.0018,61.5785,60.0018,61.3157,1256910
GAS,20171012,60.0018,60.6149,59.5638,60.3522,718730
GAS,20171011,59.3887,60.0018,59.3011,59.7390,580150
GAS,20171010,59.1259,59.1259,58.6003,58.7755,692210
GAS,20171009,59.2135,60.0019,58.8631,59.1259,375540
GAS,20171006,59.5639,59.5639,59.2135,59.3887,527450
GAS,20171005,60.8778,61.0530,59.5639,59.5639,864180
GAS,20171004,60.2646,60.8778,59.7390,60.8778,440790
GAS,20171003,60.8778,60.9654,59.9143,60.2646,267850
GAS,20171002,60.5274,61.4909,60.5274,60.8778,442170
GAS,20170929,61.4033,61.9289,60.5274,60.5274,348210
GAS,20170928,61.4909,62.6297,61.4909,61.9289,497770
GAS,20170927,60.7902,62.1917,60.5274,61.9289,526360
GAS,20170926,60.2646,61.3157,60.2646,60.8778,633130
GAS,20170925,60.0018,60.2646,59.5638,60.0018,125620
GAS,20170922,59.1259,60.3522,59.1259,60.0018,405840
GAS,20170921,58.8631,59.5639,58.4252,59.5639,300880
GAS,20170920,58.6879,59.3887,57.8996,59.3887,593650
GAS,20170919,60.0018,60.0894,59.2134,59.3887,725660
GAS,20170918,60.3522,60.3522,59.4762,59.9142,430400
GAS,20170915,60.4401,60.7029,59.5642,60.0018,450920
GAS,20170914,57.8377,61.4633,57.8377,59.5642,935560
GAS,20170913,57.1470,57.8376,56.9744,57.4924,401930
GAS,20170912,56.6291,57.1470,56.4565,56.9744,551400
GAS,20170911,58.0967,58.0967,56.5429,56.9744,726030
GAS,20170908,57.3197,58.7872,57.3197,58.0967,1176330
GAS,20170907,56.1975,58.3556,56.1112,57.3197,1045650
GAS,20170906,56.0248,56.7154,55.8522,56.1975,557740
GAS,20170905,54.9889,56.5428,54.8163,55.8522,604870
GAS,20170901,54.2984,55.4206,54.2984,54.8163,755320
GAS,20170831,54.0394,54.2984,53.5215,54.0394,222080
GAS,20170830,54.1257,54.3847,53.5215,54.0394,285860
GAS,20170829,53.9531,54.3847,53.6078,54.0394,293560
GAS,20170828,53.0035,54.4710,53.0035,54.3847,582890
GAS,20170825,53.0035,53.6941,52.9172,53.0035,189640
GAS,20170824,52.6582,53.4351,52.6582,53.0035,239980
GAS,20170823,52.3992,52.6582,52.3129,52.6582,105000
GAS,20170822,52.7445,52.9171,52.3129,52.3992,253080
GAS,20170821,52.6582,53.0898,52.5719,52.7445,126800
GAS,20170818,51.8813,52.8308,51.8813,52.5719,155160
GAS,20170817,53.1761,53.7804,52.6582,52.6582,169350
GAS,20170816,52.5719,53.7805,52.2266,53.7804,187980
GAS,20170815,53.4351,53.4351,52.3992,52.4856,294210
GAS,20170814,52.9172,53.5215,52.6582,53.3488,149840
GAS,20170811,54.1257,54.8163,52.7445,52.9172,498850
GAS,20170810,54.4710,54.9890,53.9531,54.3847,272390
GAS,20170809,55.3343,55.6796,53.9531,54.7300,458730
GAS,20170808,55.6796,56.1112,55.2480,55.6796,516540
GAS,20170807,54.3847,55.9385,54.0394,55.3343,635240
GAS,20170804,55.0753,55.0753,54.2984,54.3847,576960
GAS,20170803,54.6437,55.4206,54.5574,55.0753,465420
GAS,20170802,54.9027,55.7659,54.2121,55.0753,580980
GAS,20170801,54.0394,55.4206,53.9531,55.4206,811680
GAS,20170731,53.4351,54.3847,53.0898,54.0394,513860
GAS,20170728,52.3129,53.0898,52.3129,53.0898,338940
GAS,20170727,52.3993,52.9172,51.8813,52.3129,350280
GAS,20170726,53.0898,53.3488,52.5719,52.9172,332530
GAS,20170725,50.7591,52.6583,50.7591,52.2266,284880
GAS,20170724,50.4138,52.2266,50.0685,51.4497,772050
GAS,20170721,54.3847,54.3847,51.7950,51.7950,462650
GAS,20170720,53.9531,54.2983,52.3992,53.5215,253890
GAS,20170719,52.6582,54.2983,52.6582,54.1257,687010
GAS,20170718,52.8309,53.6078,52.3129,52.3992,509580
GAS,20170717,54.9889,54.9889,53.3488,53.6078,723250
GAS,20170714,54.8164,55.5070,54.3847,54.8163,750170
GAS,20170713,54.1257,55.2480,53.7805,54.5574,882290
GAS,20170712,52.1403,54.3847,51.9676,53.9531,1483860
GAS,20170711,51.9676,52.2265,51.2770,51.8813,458340
GAS,20170710,52.2266,52.4855,51.5360,52.0539,1071320
GAS,20170707,52.3992,52.5718,51.7949,52.3992,728970
GAS,20170706,51.8813,52.4856,51.5360,52.3992,719680
GAS,20170705,51.1043,51.9676,50.8454,51.8813,1598410
GAS,20170704,51.1044,51.1907,50.0685,50.9317,394690
GAS,20170703,50.2411,51.5359,50.2411,51.4497,868690
GAS,20170630,49.7232,50.8454,49.6368,50.3274,1282490
GAS,20170629,49.2916,49.6368,49.2916,49.4642,549030
GAS,20170628,49.1203,49.6383,48.8614,49.4642,516800
GAS,20170627,48.5190,49.4521,48.3494,48.6887,577840
GAS,20170626,48.3494,48.5190,48.0949,48.3494,209750
GAS,20170623,48.3494,48.4342,47.5012,48.0949,360190
GAS,20170622,48.7736,48.9432,48.0950,48.3494,686630
GAS,20170621,48.9432,49.1977,48.3494,48.9432,738120
GAS,20170620,49.2825,49.5369,49.1128,49.2825,711980
GAS,20170619,49.6217,49.6217,49.0280,49.3673,1080490
GAS,20170616,48.2646,49.1977,48.2646,48.7735,613830
GAS,20170615,48.3494,48.6887,47.9253,48.2646,457380
GAS,20170614,47.7556,48.9432,47.7556,48.7735,1090870
GAS,20170613,46.8226,47.6708,46.6530,47.6708,444780
GAS,20170612,46.5681,47.3315,46.4833,46.8226,362400
GAS,20170609,47.0771,47.0771,46.3985,46.5681,279320
GAS,20170608,45.8896,47.4164,45.8896,47.0771,404080
GAS,20170607,46.8226,47.6708,46.8226,47.0771,631150
GAS,20170606,46.8226,46.9922,46.6530,46.9922,314000
GAS,20170605,46.3137,46.9075,46.1441,46.8226,245020
GAS,20170602,47.3315,47.3315,46.2288,46.3137,944820
GAS,20170601,47.0771,47.4164,46.9074,47.2467,412340
GAS,20170531,48.3494,48.3494,47.0770,47.1619,391640
GAS,20170530,49.1977,49.2825,48.0102,48.0101,408770
GAS,20170529,48.3494,49.4522,48.1798,49.1977,639880
GAS,20170526,48.4343,49.0280,48.1798,48.1798,595270
GAS,20170525,49.1976,49.7066,48.6887,49.2825,940320
GAS,20170524,48.6887,48.7735,48.0101,48.4342,472380
GAS,20170523,49.2825,49.6218,48.6887,48.6887,469660
GAS,20170522,48.3495,49.5370,48.2646,49.2825,1581550
GAS,20170519,46.6530,47.8405,46.6530,47.4164,1110510
GAS,20170518,46.1440,46.7378,45.9744,46.3985,461480
GAS,20170517,46.3985,46.3985,45.8048,46.1440,176600
GAS,20170516,46.4833,46.4833,46.2288,46.3137,198540
GAS,20170515,46.2288,46.2288,45.8047,45.8895,360800
GAS,20170512,46.9074,46.9074,46.1440,46.2288,260390
GAS,20170511,47.0770,47.0770,46.5681,46.7378,125850
GAS,20170510,47.4164,47.5012,46.6530,46.6529,296500
GAS,20170509,46.5681,47.2467,46.4833,47.1619,561550
GAS,20170508,46.3137,46.9075,46.3137,46.6529,402680
GAS,20170505,46.2288,46.5681,46.1440,46.3137,238870
GAS,20170504,46.6530,46.8226,46.4833,46.8226,623850
GAS,20170503,46.6530,47.1619,46.5682,46.8226,651080
GAS,20170428,47.1619,47.5011,46.2288,47.0771,498570
GAS,20170427,46.2288,47.5012,46.1440,47.3315,1008680
GAS,20170426,45.6350,46.2288,45.4654,46.2288,334940
GAS,20170425,45.8047,45.9743,45.5502,45.5502,110460
GAS,20170424,45.4654,46.2288,45.2958,45.8895,361260
GAS,20170421,45.7199,46.1440,45.4654,45.4654,256750
GAS,20170420,46.1440,46.1440,45.8047,45.8047,405730
GAS,20170419,46.8226,46.9923,46.3985,46.6529,247430
GAS,20170418,45.8047,46.8226,45.8047,46.7378,457560
GAS,20170417,45.9744,46.7378,45.5503,45.8047,463270
GAS,20170414,46.5681,46.6530,45.3806,45.7199,568130
GAS,20170413,47.8404,47.8404,46.0591,46.3985,678760
GAS,20170412,48.3494,48.3494,46.9923,46.9922,733350
GAS,20170411,48.3494,48.7735,47.7557,48.1798,718510
GAS,20170410,48.7730,48.7730,48.0944,48.2646,485730
GAS,20170407,46.3329,47.9248,46.1654,47.9248,1555420
GAS,20170405,45.9977,46.1653,45.6626,45.9140,535710
GAS,20170404,46.0816,46.0816,45.2437,45.4950,551270
GAS,20170403,45.9139,46.3329,45.6626,45.8302,428240
GAS,20170331,46.0815,46.3329,45.7464,46.0815,532050
GAS,20170330,45.2437,45.8302,45.2437,45.5788,362230
GAS,20170329,45.3275,45.7464,44.9086,45.0761,552250
GAS,20170328,45.2437,45.2437,44.8248,44.9086,319850
GAS,20170327,45.4950,45.5788,44.9923,45.2437,555010
GAS,20170324,44.7410,45.6626,44.7410,45.6626,516030
GAS,20170323,44.4058,45.4112,44.4058,44.5734,971180
GAS,20170322,45.4112,45.5788,44.4058,44.4058,1255270
GAS,20170321,46.0816,46.3329,45.5789,45.5788,503250
GAS,20170320,46.0815,46.3329,45.9139,45.9140,604570
GAS,20170317,46.5004,46.5842,46.0815,46.0815,562130
GAS,20170316,46.9193,46.9193,46.3329,46.5842,566040
GAS,20170315,46.0815,46.6680,45.9139,46.0815,684900
GAS,20170314,45.8302,47.2545,45.8302,46.0815,607090
GAS,20170313,46.0815,46.5842,45.1599,45.8302,869240
GAS,20170310,47.4221,47.4221,46.4167,46.7518,1316700
GAS,20170309,48.0924,48.0924,47.5897,47.5897,1168640
GAS,20170308,48.9302,48.9302,48.2599,48.4275,434580
GAS,20170307,48.5950,48.8464,48.1761,48.7626,979520
GAS,20170306,49.0140,49.4329,48.7627,48.7626,672260
GAS,20170303,48.5951,49.3492,48.1762,49.0978,487640
GAS,20170302,49.7680,49.8518,48.5950,48.5951,926350
GAS,20170301,50.6059,50.6059,49.1815,49.3491,1311380
GAS,20170228,51.9465,52.1978,50.5221,50.5221,665120
